#{"t_start": 1671741572.1880682, "env_id": "HopperBulletEnv-v0"}
r,l,t
2469.685623,1000,0.823575
2481.485463,1000,1.60516
2481.306102,1000,2.368784
2476.289369,1000,3.127589
2485.614857,1000,3.887127
2332.294869,940,4.601802
2476.79984,1000,5.361193
2480.369577,1000,6.122027
2486.200423,1000,6.881104
2458.30399,1000,7.641769
812.257866,337,7.898164
2470.277894,1000,8.659623
2464.179053,1000,9.417788
2473.738588,1000,10.177651
2460.813703,1000,10.938416
2478.745057,1000,11.699275
2482.481431,1000,12.460256
2476.284131,1000,13.218376
2469.708339,1000,13.976172
2476.243137,1000,14.735569
2465.019043,1000,15.493912
2459.383856,1000,16.255363
2457.188738,1000,17.015468
2487.429197,1000,17.779042
2461.216694,1000,18.541915
2477.84605,1000,19.303818
2460.004958,1000,20.066677
2476.934968,1000,20.828497
2457.928084,1000,21.589716
2457.06821,1000,22.352291
2464.083751,1000,23.113146
2455.332281,1000,23.881378
2483.710608,1000,24.647834
664.801839,277,24.859265
1129.345247,464,25.212806
2273.103538,921,25.912463
353.485512,157,26.032811
2469.349844,1000,26.792571
2470.642519,1000,27.551991
2477.780947,1000,28.314387
2470.579095,1000,29.074119
2467.593538,1000,29.83527
2469.168597,1000,30.598049
2468.571369,1000,31.358878
2466.076476,1000,32.119406
2482.086702,1000,32.879272
2477.478042,1000,33.642101
2453.196673,1000,34.404325
2472.691231,1000,35.164887
2469.561386,1000,35.926182
2479.538199,1000,36.688169
2475.801573,1000,37.448033
2492.063178,1000,38.21099
2449.464064,1000,38.971777
2493.400404,1000,39.730843
2459.413575,1000,40.49326
2505.155316,1000,41.255352
2483.553927,1000,42.015785
2450.10567,1000,42.777658
2481.420325,1000,43.538229
2489.188767,1000,44.299017
2443.409221,1000,45.059221
2438.308433,1000,45.819702
2468.404927,1000,46.580431
2480.624316,1000,47.341028
2467.127577,1000,48.101018
2466.090077,1000,48.863598
2491.868086,1000,49.623115
2468.169408,1000,50.391338
2471.537547,1000,51.153208
2475.655179,1000,51.913227
2495.845722,1000,52.676085
2483.461218,1000,53.438118
2452.655869,1000,54.198752
2472.478894,1000,54.960155
2471.709055,1000,55.721298
2486.514983,1000,56.482274
2484.342298,1000,57.245072
2474.668754,1000,58.005676
2474.394332,1000,58.768382
2480.784348,1000,59.527177
569.794146,240,59.710754
2467.092552,1000,60.472245
2472.127997,1000,61.233172
2470.708983,1000,61.992386
2454.974575,1000,62.751846
2468.669709,1000,63.510538
1378.557305,558,63.935781
2477.709813,1000,64.695914
2472.951797,1000,65.454572
1482.05344,603,65.913134
2481.861738,1000,66.674814
2502.427061,1000,67.432943
2492.035327,1000,68.192141
2473.476742,1000,68.95026
2457.921091,1000,69.708569
2453.475471,1000,70.470059
2469.647336,1000,71.230773
2463.801169,1000,71.989688
2468.803268,1000,72.750942
1962.947282,787,73.348781
2481.908462,1000,74.109192
2456.500956,1000,74.870492
2480.549578,1000,75.631676
914.758666,369,75.913149
2465.802991,1000,76.674095
598.763314,260,76.871708
1309.388145,536,77.279876
2485.561443,1000,78.040652
2477.635392,1000,78.802934
2486.239518,1000,79.563787
1026.331728,419,79.88301
2459.896708,1000,80.644404
