#{"t_start": 1678221634.3575583, "env_id": "AntBulletEnv-v0"}
r,l,t
3807.140394,1000,1.068025
3778.384083,1000,2.111208
3776.507441,1000,3.204544
3807.113262,1000,4.494315
3777.103006,1000,5.671489
3755.221975,1000,6.932643
3794.671091,1000,8.151804
3806.103808,1000,9.190905
3806.866636,1000,10.228989
3791.418075,1000,11.266475
3795.891325,1000,12.300596
3785.620977,1000,13.338133
3796.130344,1000,14.376116
3804.442298,1000,15.414425
3790.069196,1000,16.452779
3794.384617,1000,17.489434
3798.538965,1000,18.526844
3798.946393,1000,19.564188
3795.519505,1000,20.600702
3802.640514,1000,21.636492
3803.963992,1000,22.673255
3787.460191,1000,23.70553
3795.205464,1000,24.742552
3786.675197,1000,25.781572
3777.930283,1000,26.821126
3793.467604,1000,27.856894
3797.41178,1000,28.890005
3794.761194,1000,29.923401
3807.537406,1000,30.957249
3802.163945,1000,31.988669
3781.459482,1000,33.028974
3786.242076,1000,34.062266
3811.292134,1000,35.096975
3797.019265,1000,36.135289
3797.80887,1000,37.167431
3783.10251,1000,38.203826
3597.327442,1000,39.256579
3781.774275,1000,40.459489
3770.837598,1000,41.700416
3798.005204,1000,42.882148
3798.640795,1000,44.26585
3793.771663,1000,45.385792
3803.851547,1000,46.419197
3780.181588,1000,47.454097
3802.659535,1000,48.48954
3806.718786,1000,49.524836
3800.770953,1000,50.562775
3775.978253,1000,51.612819
3788.511756,1000,52.66026
2658.146601,1000,53.721009
3787.391575,1000,54.764215
3807.855642,1000,55.80348
3778.846708,1000,56.838342
3763.351903,1000,57.876072
3803.095445,1000,58.91268
3797.747037,1000,59.948186
3794.229218,1000,60.98424
3791.614304,1000,62.020331
3805.261082,1000,63.055608
3781.03626,1000,64.095186
3779.75226,1000,65.1301
3795.091347,1000,66.167868
3816.498493,1000,67.205153
3798.535413,1000,68.242027
3788.307262,1000,69.279077
3780.26601,1000,70.328593
3799.449476,1000,71.366265
3798.741869,1000,72.401935
3797.887048,1000,73.437291
3795.484912,1000,74.474765
3813.588494,1000,75.510941
3766.707831,1000,76.547253
3802.19922,1000,77.583458
