#{"t_start": 1671802366.139877, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
2876.462702,1000,1.018152
2881.584837,1000,1.985807
2890.42089,1000,2.930935
2889.485638,1000,3.875739
2882.836917,1000,4.823293
2887.901534,1000,5.769166
2889.126503,1000,6.715302
2875.133373,1000,7.661018
2886.670905,1000,8.60742
2884.616957,1000,9.551895
2883.374078,1000,10.497155
2875.064895,1000,11.441177
2889.339258,1000,12.387017
2892.76026,1000,13.333322
2878.098608,1000,14.279814
2874.333044,1000,15.223969
2895.072299,1000,16.169868
2878.936862,1000,17.115062
2885.698098,1000,18.060267
2868.541052,1000,19.004937
2888.767973,1000,19.950964
2873.733755,1000,20.895633
2869.604297,1000,21.84705
2892.944426,1000,22.794739
2895.131477,1000,23.73959
2880.756724,1000,24.684298
2890.445572,1000,25.632476
2870.503107,1000,26.579098
2865.345287,1000,27.524483
2872.958589,1000,28.472608
2882.400027,1000,29.426152
2892.847281,1000,30.374095
2879.857695,1000,31.321988
2889.217112,1000,32.270612
2821.887799,1000,33.2201
2873.514436,1000,34.167814
2888.7321,1000,35.114826
2889.87329,1000,36.060774
2884.554137,1000,37.010291
2882.186089,1000,37.958879
2885.531336,1000,38.906856
2875.389747,1000,39.85357
2854.41509,1000,40.801085
2892.722035,1000,41.74798
2900.039009,1000,42.695761
2878.095139,1000,43.643101
2891.060669,1000,44.592496
2893.469136,1000,45.540023
2897.870373,1000,46.489746
2880.422849,1000,47.437276
2886.745337,1000,48.387269
2887.664815,1000,49.337526
2894.804245,1000,50.285638
2874.586556,1000,51.231774
2904.731789,1000,52.178348
2884.196155,1000,53.126866
2875.239923,1000,54.075622
2894.782429,1000,55.022901
2880.077759,1000,55.96978
2891.77446,1000,56.917022
2884.076285,1000,57.864735
2873.914967,1000,58.810926
2889.007586,1000,59.757281
2877.479808,1000,60.704105
2879.331966,1000,61.651611
2871.766706,1000,62.599186
2872.58861,1000,63.545157
2849.389727,1000,64.493219
2889.246448,1000,65.440585
2885.972788,1000,66.391171
2895.054611,1000,67.337957
2885.681834,1000,68.287983
2875.665069,1000,69.234815
2894.235413,1000,70.18048
2882.148406,1000,71.129178
2898.442561,1000,72.073223
2873.522652,1000,73.020582
2873.445675,1000,73.967403
2878.467542,1000,74.913926
2887.976421,1000,75.859331
