#{"t_start": 1671690872.791403, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
2933.866494,1000,0.994534
2955.306286,1000,1.943296
2913.931738,1000,2.878944
2937.987979,1000,3.818921
2928.549172,1000,4.757924
2939.002017,1000,5.697254
2936.743316,1000,6.637035
2940.663188,1000,7.574207
2944.20706,1000,8.512607
2930.953719,1000,9.448646
2945.977014,1000,10.386986
2947.951013,1000,11.324478
2936.808147,1000,12.260681
2923.700429,1000,13.200515
2944.91679,1000,14.138512
2939.918063,1000,15.078937
2939.296794,1000,16.017493
2934.239601,1000,16.955523
2947.178699,1000,17.895019
2947.470635,1000,18.831298
2938.997211,1000,19.769338
2932.782887,1000,20.705725
2951.12935,1000,21.643749
2948.11559,1000,22.580677
2922.211101,1000,23.52425
2942.498162,1000,24.466123
2954.417698,1000,25.427862
2940.882811,1000,26.377403
2948.22449,1000,27.318812
2940.165098,1000,28.25618
2938.842235,1000,29.194418
2936.071528,1000,30.132261
2932.853578,1000,31.071152
2923.730267,1000,32.008055
2927.861381,1000,32.948617
2940.232339,1000,33.888898
2931.787462,1000,34.82844
2932.317568,1000,35.765784
2945.464944,1000,36.701555
2941.772027,1000,37.638613
2958.676552,1000,38.58025
2937.829249,1000,39.526903
2946.964455,1000,40.464612
2932.57337,1000,41.406976
2957.735021,1000,42.347382
2935.610968,1000,43.285825
2932.78216,1000,44.223871
2943.084796,1000,45.163308
2929.306264,1000,46.107036
2936.750794,1000,47.044902
2925.748773,1000,47.983151
2931.576682,1000,48.920672
2938.173451,1000,49.858958
2924.634803,1000,50.797118
2934.166714,1000,51.735133
2947.170982,1000,52.672405
2927.384359,1000,53.609845
2931.162008,1000,54.548952
2941.445796,1000,55.487345
2950.094285,1000,56.423672
2921.250932,1000,57.361662
2938.538667,1000,58.298762
2930.177449,1000,59.236876
2931.170644,1000,60.175187
2937.239723,1000,61.111931
2954.174535,1000,62.047946
2929.27061,1000,62.986152
2928.333554,1000,63.920659
2940.194948,1000,64.85863
2941.179491,1000,65.79683
2934.096337,1000,66.73377
2939.149896,1000,67.673178
2930.580554,1000,68.610583
2922.941824,1000,69.548976
2933.14053,1000,70.486506
2941.740567,1000,71.426274
2927.022346,1000,72.366358
2936.811852,1000,73.304693
2927.441844,1000,74.244776
2917.820496,1000,75.183419
2939.050195,1000,76.121908
2927.651451,1000,77.058363
2957.8019,1000,77.997802
2945.182868,1000,78.936146
2931.709237,1000,79.872439
2930.763089,1000,80.810046
2925.581743,1000,81.747913
2928.046342,1000,82.684743
2955.47755,1000,83.621701
2940.509883,1000,84.560923
2944.004934,1000,85.497148
2943.101929,1000,86.43604
2917.81078,1000,87.372439
2940.360566,1000,88.310276
2929.167253,1000,89.248992
2952.911571,1000,90.185329
2949.676303,1000,91.120896
2950.05319,1000,92.058772
2944.50451,1000,92.998166
2929.932851,1000,93.937663
2946.807927,1000,94.876008
2945.044044,1000,95.813303
2926.462886,1000,96.751887
2933.450602,1000,97.688279
2947.000283,1000,98.624224
2937.143352,1000,99.566225
2929.191566,1000,100.504128
2927.673379,1000,101.440398
2938.148432,1000,102.377726
2949.894283,1000,103.318206
2938.773746,1000,104.25721
2935.536774,1000,105.196585
2933.437168,1000,106.135247
2942.905433,1000,107.074257
2930.771564,1000,108.012403
2956.036194,1000,108.951905
2922.811038,1000,109.893905
2939.902861,1000,110.833511
2942.184628,1000,111.775411
2934.609258,1000,112.715446
2953.65596,1000,113.654363
2943.146547,1000,114.592464
2946.365215,1000,115.528227
2935.587759,1000,116.46586
2927.769515,1000,117.405685
2943.22064,1000,118.346296
2957.263099,1000,119.285038
2943.631405,1000,120.225345
2935.776971,1000,121.164824
2926.206919,1000,122.10339
2940.077893,1000,123.04348
2931.580232,1000,123.981842
2927.805501,1000,124.921213
2923.112337,1000,125.859211
2952.282681,1000,126.798301
2942.862368,1000,127.738319
2943.767857,1000,128.676835
2929.824817,1000,129.61508
2939.501743,1000,130.552714
2956.273299,1000,131.489599
2928.605727,1000,132.425566
2930.365503,1000,133.363115
2934.354748,1000,134.30007
2942.254821,1000,135.234204
2932.364228,1000,136.172126
2933.408521,1000,137.108723
2955.896352,1000,138.04604
2912.809136,1000,138.980584
2936.704649,1000,139.915316
2951.101587,1000,140.850176
2927.189245,1000,141.784079
2943.017682,1000,142.721519
2941.940451,1000,143.656516
2927.596866,1000,144.590947
2927.200053,1000,145.526703
2942.52152,1000,146.459299
2936.75731,1000,147.393221
2923.489816,1000,148.325157
2935.079231,1000,149.256813
2944.771454,1000,150.189573
2924.965532,1000,151.120941
2948.317767,1000,152.052898
2953.607771,1000,152.986124
2927.335506,1000,153.91962
2948.764539,1000,154.852576
2930.409119,1000,155.785562
2948.353159,1000,156.718528
2951.753572,1000,157.651124
2940.402232,1000,158.585381
2929.241795,1000,159.522232
2934.949007,1000,160.457073
2951.707097,1000,161.391964
2935.363381,1000,162.325356
2941.539807,1000,163.265392
2933.483927,1000,164.199692
2941.667944,1000,165.132258
2950.706454,1000,166.066068
2933.990931,1000,167.004966
2943.539939,1000,167.942285
2931.369539,1000,168.875821
2950.066856,1000,169.810495
2940.240802,1000,170.747695
2940.136161,1000,171.686078
2927.030801,1000,172.622644
2923.912366,1000,173.556698
2941.129949,1000,174.4901
2944.363486,1000,175.425594
2924.026207,1000,176.361516
2922.679473,1000,177.296132
2931.213456,1000,178.230047
2942.057371,1000,179.163095
2931.717214,1000,180.095694
2942.393622,1000,181.02724
2936.031598,1000,181.959991
2920.870454,1000,182.891683
2919.520669,1000,183.823978
2937.264683,1000,184.756426
2932.172377,1000,185.688606
2945.786499,1000,186.622259
2919.0466,1000,187.556208
2921.942386,1000,188.488256
2929.14805,1000,189.420598
2937.061021,1000,190.353408
2939.32961,1000,191.28728
2942.452508,1000,192.221383
2939.735481,1000,193.155474
2944.245983,1000,194.093486
2948.132122,1000,195.027596
2907.993504,1000,195.964065
2932.810597,1000,196.896899
2938.129334,1000,197.830442
2940.80616,1000,198.764279
2949.429026,1000,199.736601
2953.113738,1000,200.691411
2928.687836,1000,201.634134
2919.913943,1000,202.573313
2942.019622,1000,203.513752
2927.61341,1000,204.455725
2936.151617,1000,205.396464
2930.743871,1000,206.334445
2928.22182,1000,207.275373
2934.363279,1000,208.214897
2945.032455,1000,209.154857
2936.234872,1000,210.094077
2937.718355,1000,211.032313
2934.967255,1000,211.971014
2944.363627,1000,212.908782
2948.755661,1000,213.846328
2946.536367,1000,214.782337
2934.936348,1000,215.717582
