#{"t_start": 1671771607.4646964, "env_id": "HopperBulletEnv-v0"}
r,l,t
2545.565843,1000,0.820777
2553.340141,1000,1.603415
2578.996679,1000,2.371547
2570.974764,1000,3.137988
2310.260023,919,3.842636
2582.24822,1000,4.60918
2583.375574,1000,5.374729
2545.130625,1000,6.141203
2555.26637,1000,6.908333
2575.130938,1000,7.674851
2581.558212,1000,8.444219
2561.398631,1000,9.217352
2516.463427,1000,9.983545
2638.043055,1000,10.751565
2556.11777,1000,11.517947
2525.624149,1000,12.283724
2534.857217,1000,13.049212
2587.403531,1000,13.813565
2559.614231,1000,14.578445
2557.274063,1000,15.34388
2574.870571,1000,16.10734
2581.169014,1000,16.873242
2562.786089,1000,17.63785
2562.210358,1000,18.406858
2605.492767,1000,19.173494
2577.159282,1000,19.940231
2587.007023,1000,20.703927
2575.092951,1000,21.469293
2556.397021,1000,22.235167
2573.873019,1000,23.000816
2533.410291,1000,23.766436
2588.466142,1000,24.532081
2516.656147,1000,25.298402
2557.692466,1000,26.06535
2549.775136,1000,26.831227
2585.567009,1000,27.599086
2509.944062,1000,28.36629
2526.778692,1000,29.134576
2517.168741,1000,29.900751
2596.17104,1000,30.668799
2538.131942,1000,31.434812
2599.302306,1000,32.200857
2547.619491,1000,32.967072
2555.024015,1000,33.733884
2610.377649,1000,34.501758
2650.480854,1000,35.270896
2607.402743,1000,36.038953
2604.101052,1000,36.808369
2576.98525,1000,37.575441
2494.288879,1000,38.344643
2569.660393,1000,39.111611
2553.100218,1000,39.877534
2536.115986,1000,40.645086
2562.703349,1000,41.411312
2585.618027,1000,42.180129
2584.63612,1000,42.948485
2589.149557,1000,43.714154
2523.987872,1000,44.482342
2582.303468,1000,45.247432
2573.631262,1000,46.013237
2565.99698,1000,46.778574
2542.84264,1000,47.546422
2515.498267,1000,48.31164
2558.753907,1000,49.079623
2503.768504,1000,49.84433
2624.755811,1000,50.609508
845.509544,350,50.878082
2599.250455,1000,51.644315
2625.243145,1000,52.410786
2602.730454,1000,53.177258
2558.631822,1000,53.942326
2552.795558,1000,54.708993
2556.143031,1000,55.475453
2584.595823,1000,56.240176
2535.63231,1000,57.006232
2493.282522,1000,57.773155
2512.636887,1000,58.540316
2543.904693,1000,59.309615
2529.287614,1000,60.07881
2504.834835,1000,60.84743
2610.002393,1000,61.614963
2562.628182,1000,62.38284
2579.694393,1000,63.148879
2567.410863,1000,63.914432
2588.91877,1000,64.681084
2563.760927,1000,65.44871
2602.585254,1000,66.214268
2575.277039,1000,66.982339
2565.185812,1000,67.746449
2532.446212,1000,68.511264
2556.882701,1000,69.275678
2585.312256,1000,70.041404
2521.437064,1000,70.806092
2627.665853,1000,71.570085
2583.373336,1000,72.336188
2567.08992,1000,73.102612
2549.697131,1000,73.869419
2548.349902,1000,74.63533
2584.390388,1000,75.405019
2546.241611,1000,76.172445
2569.243752,1000,76.939441
2545.001899,1000,77.708503
2571.643895,1000,78.474934
2563.074277,1000,79.244309
2562.540964,1000,80.013649
2574.278613,1000,80.781097
2585.22104,1000,81.549555
2613.024096,1000,82.318239
2560.943198,1000,83.086497
2567.309905,1000,83.852662
2609.876445,1000,84.62002
2573.529123,1000,85.385812
