#{"t_start": 1671724370.5698352, "env_id": "AntBulletEnv-v0"}
r,l,t
2677.67502,1000,1.065259
2695.405922,1000,2.08314
2664.542655,1000,3.084969
2680.09931,1000,4.088766
2632.664156,1000,5.09065
2681.994412,1000,6.092893
2643.628122,1000,7.096057
2674.939351,1000,8.102989
2671.706638,1000,9.104677
2659.005227,1000,10.106269
2669.93547,1000,11.108507
2613.840164,1000,12.109616
2681.049166,1000,13.113642
2665.956305,1000,14.117895
2648.247048,1000,15.124052
2658.055094,1000,16.12824
2681.43731,1000,17.130305
2673.087206,1000,18.134141
2670.81541,1000,19.140254
2677.233851,1000,20.142809
2672.793927,1000,21.150686
2608.736235,1000,22.150771
2656.56745,1000,23.155517
2642.628666,1000,24.154255
2676.963376,1000,25.158673
2662.74806,1000,26.161713
2676.134086,1000,27.167557
2666.158315,1000,28.170744
2655.267139,1000,29.175021
2678.033077,1000,30.180444
2667.302875,1000,31.182716
2674.221357,1000,32.18494
2692.687116,1000,33.187943
2660.430106,1000,34.188172
2668.042189,1000,35.187724
2676.244232,1000,36.187123
2682.609189,1000,37.189514
2666.984982,1000,38.193452
2658.591164,1000,39.197505
2658.279666,1000,40.197877
2620.524507,1000,41.19916
2686.245728,1000,42.203715
2660.67651,1000,43.203557
2674.935748,1000,44.207108
2690.694339,1000,45.20784
2658.298636,1000,46.210934
2636.877979,1000,47.213859
2670.80531,1000,48.218582
2675.633949,1000,49.221777
2652.212099,1000,50.232007
2644.452113,1000,51.231775
2641.052828,1000,52.23628
2602.937843,1000,53.239218
2634.849766,1000,54.241549
2679.303929,1000,55.244758
2679.461249,1000,56.246787
2672.626966,1000,57.249802
2672.341347,1000,58.250777
2610.083988,1000,59.256556
2686.548091,1000,60.260006
2675.795115,1000,61.26406
2634.868024,1000,62.266795
2656.29571,1000,63.269233
2677.909449,1000,64.272603
2619.033014,1000,65.275298
2670.09661,1000,66.276972
2676.994446,1000,67.280627
2672.349223,1000,68.284358
2643.422844,1000,69.289521
2659.746421,1000,70.296238
2667.96519,1000,71.301351
2660.2443,1000,72.306556
2667.194834,1000,73.312703
2671.350967,1000,74.316654
2678.788239,1000,75.320786
2664.622893,1000,76.32595
2665.040505,1000,77.328797
2659.567766,1000,78.334223
2662.311137,1000,79.340532
2660.39845,1000,80.347875
2664.900068,1000,81.353635
2638.560322,1000,82.359094
2675.894915,1000,83.362594
2664.624571,1000,84.363743
2680.104907,1000,85.41367
2684.41323,1000,86.434595
2673.853291,1000,87.44708
2670.079229,1000,88.456348
2657.424287,1000,89.462947
2663.145903,1000,90.470654
2686.540605,1000,91.475131
2669.927788,1000,92.481643
2652.167706,1000,93.48503
2555.16616,1000,94.488409
2672.828045,1000,95.492933
2677.717956,1000,96.495604
2681.195808,1000,97.500405
2632.438775,1000,98.505345
2640.270018,1000,99.510835
