#{"t_start": 1668298349.6238136, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1414.561051,1000,1.481448
-1362.837932,1000,2.102241
-1283.014164,1000,2.735849
-1376.708219,1000,3.349438
-1045.029069,1000,4.007566
-1067.256353,1000,4.629209
-1140.3468,1000,5.241583
-1419.986454,1000,5.849095
-1178.838385,1000,6.482696
-1219.58664,1000,7.082553
-1288.589182,1000,8.951774
-1254.42333,1000,10.491483
-1107.122758,1000,12.04938
-1283.89297,1000,13.568343
-1138.616464,1000,15.115059
-1394.802476,1000,16.590692
-1369.443081,1000,18.119481
-1417.25526,1000,19.605202
-1337.951033,1000,21.087307
-837.58159,1000,22.548714
-1284.650302,1000,24.06123
-1446.241737,1000,25.503031
-1284.567226,1000,26.976515
-1534.046898,1000,28.46709
-1265.360262,1000,30.019598
-1441.189672,1000,36.734792
-1364.0146,1000,38.208231
-1510.025606,1000,39.78707
-1442.904638,1000,41.370902
-1075.220526,1000,42.888955
-1365.501997,1000,44.421276
-1420.012478,1000,45.904061
-1217.648409,1000,47.479348
-1182.343946,1000,49.012828
-1309.788138,1000,50.559205
-1206.602227,1000,52.109061
-1387.43417,1000,53.662611
-1081.032504,1000,55.1546
-1305.64253,1000,56.725676
-1336.10126,1000,58.266327
-786.744679,1000,59.81481
-1128.896288,1000,61.390376
-1337.655909,1000,62.912707
-1239.259259,1000,64.506142
-1154.173875,1000,66.114705
-1379.070882,1000,67.67097
-1401.501512,1000,69.222859
-923.040972,1000,70.696653
-1356.904262,1000,72.263173
-1090.300178,1000,73.807901
-913.041433,1000,80.438702
-1393.815387,1000,81.982219
-1402.65444,1000,83.577923
-1074.616636,1000,85.051076
-1415.538157,1000,86.598942
-1231.075593,1000,88.156474
-1165.716902,1000,89.745434
-1220.565687,1000,91.288078
-1053.984711,1000,92.777844
-1285.221517,1000,94.341683
-873.54974,1000,95.916337
-1063.662039,1000,97.447052
-1085.640324,1000,98.997964
-796.251287,1000,100.477218
-1163.894181,1000,102.033698
-577.95035,1000,103.567803
-117.000387,1000,105.087416
-1389.703604,1000,106.645673
-1201.045878,1000,108.229672
-717.280733,1000,109.693204
-1377.826247,1000,111.254274
-850.292834,1000,112.794643
-926.405894,1000,114.368187
-1320.485869,1000,115.951746
-1213.447123,1000,117.478156
-978.174582,1000,124.377157
-821.025182,1000,125.98744
-767.633428,1000,127.545824
-1338.936177,1000,129.115798
-1257.392071,1000,130.635761
-1241.292999,1000,132.21351
-449.569339,1000,133.744837
-1281.636014,1000,135.29801
-1257.59778,1000,136.846305
-1214.903896,1000,138.412018
75.507587,1000,139.857043
-932.591061,1000,141.392215
-879.936659,1000,142.929842
-988.418737,1000,144.500596
-919.630051,1000,146.044684
-1103.985222,1000,147.525167
-532.64465,1000,149.053001
-1032.187506,1000,150.626245
-458.239458,1000,152.148042
-55.639472,1000,153.664314
-438.984235,1000,155.139438
386.24917,1000,156.686914
92.586572,1000,158.192013
385.851911,1000,159.700938
319.571865,1000,161.211645
-630.579324,1000,167.734364
-747.287634,1000,169.203248
285.677898,1000,170.707315
268.57541,1000,172.21155
378.347329,1000,173.756339
297.020225,1000,175.262411
453.525152,1000,176.738351
20.874902,1000,178.251062
-203.534091,1000,179.807421
135.991627,1000,181.33423
308.808691,1000,182.870165
404.739858,1000,184.342813
400.390861,1000,185.924756
172.221374,1000,187.447301
-618.052321,1000,188.974341
471.051079,1000,190.481574
447.500215,1000,192.04129
343.720159,1000,193.511036
488.129668,1000,195.03793
486.166635,1000,196.54867
506.668438,1000,198.102153
528.084456,1000,199.628688
502.075232,1000,201.080388
433.575789,1000,202.587434
513.88689,1000,204.14752
367.511963,1000,210.652694
207.984429,1000,212.179654
548.373161,1000,213.652057
487.904901,1000,215.205646
56.464027,1000,216.723199
346.667709,1000,218.228155
478.40711,1000,219.736958
511.055106,1000,221.286114
522.073873,1000,222.752455
478.302237,1000,224.278339
-73.487166,1000,225.814655
599.81054,1000,227.370504
550.380001,1000,228.884601
448.730158,1000,230.347089
557.596121,1000,231.86869
317.862666,1000,233.40446
501.587297,1000,234.932652
547.907408,1000,236.458319
-4.394126,1000,237.931638
608.61619,1000,239.461595
243.22997,1000,240.999835
575.844719,1000,242.575816
583.887728,1000,244.157838
608.95391,1000,245.734648
585.069427,1000,247.241217
552.905264,1000,253.728933
585.563194,1000,255.258673
568.033012,1000,256.793266
633.184204,1000,258.313731
586.656339,1000,259.755421
580.600475,1000,261.263528
405.964577,1000,262.79878
477.201945,1000,264.301806
555.460137,1000,265.803804
492.26915,1000,267.258486
601.792005,1000,268.795106
535.899799,1000,270.300117
513.185553,1000,271.802418
545.725233,1000,273.304934
508.019355,1000,274.836053
528.514247,1000,276.297948
659.918246,1000,277.80692
553.000507,1000,279.313017
628.915396,1000,280.847085
572.507747,1000,282.360358
572.128256,1000,283.824019
604.671648,1000,285.34564
599.497998,1000,286.879204
570.053119,1000,288.404263
628.227808,1000,289.905604
607.479472,1000,296.433078
561.473427,1000,297.948422
587.258287,1000,299.433987
633.403824,1000,300.945911
626.983249,1000,302.447155
562.9658,1000,303.974804
533.002608,1000,305.423529
291.651349,1000,306.914618
513.018181,1000,308.394802
430.204313,1000,309.888392
571.483991,1000,311.346983
641.648161,1000,312.766147
562.827597,1000,314.235871
598.210297,1000,315.7411
553.520799,1000,317.221779
567.486608,1000,318.700241
671.901462,1000,320.126272
632.278717,1000,321.644512
673.456362,1000,323.125372
652.791929,1000,324.609171
722.699295,1000,326.089749
707.650598,1000,327.590156
679.000477,1000,329.012251
684.449821,1000,330.493737
602.119113,1000,331.979407
516.439548,1000,338.270281
691.035798,1000,339.749959
575.84993,1000,341.168442
611.440258,1000,342.654622
665.707328,1000,344.164171
682.477604,1000,345.633184
706.500559,1000,347.100484
711.252551,1000,348.524177
663.351897,1000,350.01238
712.974387,1000,351.487201
688.657772,1000,352.964243
712.183287,1000,354.438173
710.920489,1000,355.946071
706.58848,1000,357.392028
622.686522,1000,358.850532
669.494425,1000,360.307774
