#{"t_start": 1678357747.0009909, "env_id": "HopperBulletEnv-v0"}
r,l,t
21.806547,11,0.070703
17.164664,7,0.075851
21.413753,9,0.082641
21.164382,15,0.093354
15.122579,8,0.099981
18.782678,6,0.104613
20.946238,21,0.11995
16.52823,9,0.126479
19.990326,9,0.134459
22.698502,29,0.155871
20.14315,10,0.162766
21.177679,17,0.17645
19.940372,14,0.190612
18.578522,8,0.196146
18.627118,7,0.200804
18.121574,6,0.204811
20.668755,13,0.21401
16.581825,17,0.224682
21.495514,10,0.23132
15.762175,7,0.236096
29.092642,17,0.247466
19.146159,10,0.25387
20.393804,9,0.260511
20.916397,7,0.265094
19.658115,11,0.273245
21.27562,15,0.282476
21.028488,15,0.292074
19.178545,30,0.310962
21.728445,14,0.320483
23.523223,16,0.330549
30.973599,23,0.344799
21.074308,11,0.351846
19.829651,13,0.360739
20.234582,10,0.367183
20.227056,10,0.373703
19.48499,16,0.384806
18.828123,11,0.393053
23.31153,10,0.399758
20.203965,12,0.407399
22.235579,15,0.432835
25.710447,16,0.446217
18.949988,14,0.455251
18.857186,7,0.459965
18.493452,14,0.468612
24.664245,23,0.483997
18.781571,13,0.492652
13.869046,12,0.500081
18.360134,7,0.504521
14.862061,7,0.509813
26.382507,18,0.521096
17.032249,16,0.531034
17.015078,8,0.536225
16.52555,16,0.546778
17.500096,7,0.551366
17.660953,13,0.559652
24.047072,20,0.572794
22.720631,16,0.583543
17.853907,15,0.592826
18.489345,9,0.598689
17.310906,8,0.603851
20.730967,9,0.621098
19.793267,7,0.628294
15.435779,7,0.633978
16.736931,11,0.641859
19.850318,13,0.650814
18.921647,8,0.656166
26.117788,29,0.674473
25.049915,20,0.688298
16.994918,9,0.694701
21.823055,17,0.705502
19.140379,7,0.710068
20.554217,10,0.71649
21.412768,10,0.723451
12.777074,13,0.731673
19.008715,10,0.738013
26.532448,17,0.748335
22.35446,11,0.756065
17.39961,6,0.760124
17.84622,10,0.766599
22.777211,24,0.782371
21.059362,7,0.789421
20.797638,11,0.796748
19.530244,10,0.803227
24.646518,13,0.811593
17.075434,7,0.817169
20.798341,11,0.82423
21.661981,15,0.833708
19.892567,11,0.840609
20.559892,11,0.84848
20.985837,7,0.85306
16.538773,11,0.860069
15.212683,10,0.866804
19.058062,11,0.875553
20.25589,11,0.88283
22.242349,10,0.889366
19.325119,7,0.893868
24.449976,17,0.905971
20.302499,9,0.911782
17.769225,6,0.915893
14.889345,5,0.919388
27.46949,24,0.935201
22.287688,12,0.942968
20.118979,8,0.948252
19.233831,13,0.956521
20.373882,9,0.96338
23.561729,12,0.972049
14.282179,7,0.976587
20.365249,8,0.981856
18.700458,10,0.988893
19.301734,8,0.994244
15.260631,11,1.001332
25.19475,15,1.010914
21.767168,10,1.018082
22.798445,13,1.026645
18.831487,8,1.032004
18.463556,9,1.037852
23.414046,16,1.0486
17.464731,6,1.052597
18.489989,11,1.059708
20.91802,9,1.065483
19.566228,13,1.075615
17.717889,8,1.081273
25.740435,12,1.089049
21.942883,14,1.097937
22.438532,19,1.110699
20.03101,16,1.120947
24.897079,14,1.130078
16.382457,6,1.134009
20.437191,12,1.142504
20.6826,11,1.149747
21.690771,20,1.162757
19.572214,12,1.170448
27.161503,17,1.182797
18.163892,9,1.188718
18.438909,11,1.19563
20.647819,10,1.202248
26.415107,20,1.21566
27.864527,22,1.229624
20.808826,8,1.234786
14.291611,12,1.24233
22.832992,11,1.250196
19.04551,8,1.25542
21.638993,12,1.263101
20.470699,18,1.274517
19.797315,7,1.279976
22.194413,11,1.287482
19.30144,7,1.292007
21.786972,19,1.304073
20.855519,8,1.31001
14.447889,17,1.320611
18.896972,8,1.325867
16.590655,14,1.334627
18.003444,7,1.340033
18.872658,13,1.348168
17.069311,6,1.352244
16.196928,9,1.358141
21.996511,13,1.367115
18.699387,13,1.375516
17.523176,10,1.381968
29.995598,27,1.400425
34.987568,28,1.419526
19.355295,9,1.425564
19.858381,18,1.43703
20.009145,15,1.446481
20.186688,18,1.458606
20.497537,11,1.465894
17.322879,6,1.469935
19.274693,13,1.478583
15.697866,9,1.485395
20.057064,18,1.496883
16.601733,6,1.500898
18.674167,11,1.508461
23.279103,10,1.515755
19.77997,7,1.520528
20.469171,15,1.52991
19.914741,7,1.53463
19.175144,13,1.54369
16.793002,9,1.549678
20.810107,14,1.558713
19.930576,8,1.563854
19.474637,6,1.568501
27.56673,21,1.581467
28.348224,28,1.598969
22.831224,18,1.612148
17.692316,7,1.618043
19.313792,11,1.625106
24.135718,23,1.63975
16.540108,8,1.6449
19.763054,8,1.651108
16.22107,20,1.663908
19.188786,7,1.668511
23.579695,12,1.676161
18.55901,7,1.681725
21.400305,12,1.689436
18.639746,10,1.695759
19.224762,12,1.703521
24.690706,17,1.714984
18.833711,8,1.720273
16.508232,10,1.726812
20.995239,9,1.732761
19.291223,15,1.744092
17.983102,10,1.750654
22.822462,13,1.759172
21.015485,10,1.765774
17.52357,8,1.771848
22.307047,11,1.778793
18.78166,15,1.788526
18.413372,8,1.793783
21.569854,10,1.801247
16.926497,9,1.807034
19.574881,13,1.815397
20.35348,15,1.824865
19.876797,16,1.835954
18.929883,11,1.843992
18.032345,9,1.850257
20.217695,14,1.859139
17.614554,8,1.86509
18.099831,7,1.869903
20.833726,15,1.879444
19.764268,15,1.889001
15.495059,13,1.897738
22.161359,9,1.903682
19.953106,11,1.910685
22.257139,15,1.920158
20.817965,11,1.928022
19.07442,14,1.936924
21.017035,14,1.946228
16.350284,9,1.952106
20.020434,9,1.958624
22.319732,21,1.971965
19.381246,10,1.97836
21.836441,17,1.990067
18.950108,20,2.003327
18.992928,14,2.012426
17.118693,9,2.018516
19.4877,9,2.024261
19.102008,9,2.032135
17.930853,13,2.040257
25.901431,21,2.053783
21.173238,15,2.063096
18.787353,14,2.072928
16.032897,11,2.080028
19.611801,12,2.088025
15.846344,10,2.094963
20.550722,6,2.099932
15.041846,12,2.107795
20.882194,22,2.122255
18.394703,8,2.127458
22.387223,17,2.139096
26.967872,18,2.150568
17.511419,8,2.155912
19.398519,13,2.164394
18.760589,8,2.170519
17.908572,10,2.177194
19.019131,6,2.181212
20.623752,15,2.19057
19.589626,14,2.200209
17.17038,6,2.204673
17.858466,8,2.21004
17.747248,6,2.213985
18.112692,8,2.219919
16.037132,5,2.223438
19.434848,10,2.229945
17.599549,11,2.236966
18.609663,14,2.246651
19.520883,12,2.254433
20.982128,9,2.26039
22.339903,15,2.269804
18.986345,8,2.27579
20.499752,8,2.281033
21.647288,18,2.292495
28.935962,18,2.303939
20.560767,13,2.313752
17.821476,11,2.320748
17.13269,6,2.324754
19.765468,7,2.32945
14.887337,5,2.333499
