#{"t_start": 1668316529.0929036, "env_id": "AntBulletEnv-v0"}
r,l,t
102.512428,217,1.051888
484.802899,1000,1.791616
480.580268,1000,2.500062
451.025954,1000,3.209944
511.836545,1000,3.976706
501.333872,1000,4.692186
93.040778,192,4.829379
524.805025,1000,5.539777
235.826822,506,5.919711
483.661733,1000,6.637737
502.481723,1000,7.351059
478.541434,1000,8.06817
531.632592,1000,9.978602
489.931676,1000,11.607622
478.705397,1000,13.19348
3.724861,20,13.27681
6.663375,20,13.300104
6.031537,20,13.322553
4.639734,20,13.34668
5.747039,21,13.371408
5.700149,20,13.395544
5.344124,20,13.419237
375.580145,1000,15.113566
234.835122,821,16.540089
18.839789,42,16.590609
112.513692,329,17.187942
392.419015,1000,18.775971
80.968421,527,19.688605
5.008531,20,19.711276
5.044536,20,19.733261
5.060227,20,19.757996
5.052514,20,19.782332
5.027265,20,19.805162
4.975093,20,19.831174
0.731804,23,19.923052
1.273358,25,19.951605
16.079007,87,20.137268
3.445157,20,20.15935
2.864154,20,20.181438
3.751715,20,20.208241
3.556397,20,20.231025
3.61166,20,20.257872
3.223693,20,20.287791
342.91926,1000,21.918852
5.685574,50,22.045666
278.56185,1000,23.612339
325.162457,1000,25.213823
2.209427,20,25.235528
378.801747,1000,26.843657
415.064518,1000,28.443578
47.952329,329,28.988903
5.185561,20,29.010588
5.129049,20,29.033087
5.233553,20,29.054651
5.424092,20,29.079216
5.324811,20,29.102567
95.383667,268,29.627006
176.678291,586,30.528562
365.958733,1000,32.128903
210.095921,612,38.679263
288.359151,1000,40.33871
6.284971,26,40.367657
3.792659,25,40.395273
9.943513,66,40.470162
333.351365,1000,42.102856
438.759541,1000,43.701114
335.133972,1000,45.313905
33.49732,97,45.480461
336.573493,1000,47.041237
29.382225,144,47.318589
11.301003,31,47.352636
12.546925,31,47.386728
10.631906,31,47.421703
22.607794,88,47.59571
75.605189,473,48.379116
4.032833,113,48.564831
5.928055,20,48.58726
5.924321,20,48.608944
5.871126,20,48.633516
5.883913,20,48.656916
5.719891,20,48.679572
5.805899,20,48.7026
314.678553,1000,50.356272
12.208378,57,50.478178
27.984376,43,50.526549
9.43614,24,50.556712
10.156805,24,50.583843
311.350659,767,51.817237
260.611335,1000,53.444244
109.505286,548,54.361413
207.504688,522,55.184746
3.583502,20,55.20657
3.481894,20,55.229268
3.588949,20,55.250988
3.592459,20,55.274923
3.432331,20,55.297985
2.478083,20,55.387143
180.506713,435,56.097996
46.261249,189,56.374929
457.381824,1000,57.992588
4.401224,24,58.019974
56.410612,125,58.244076
268.930669,570,59.200568
56.944607,240,59.608298
5.64022,20,59.630526
5.537359,20,59.651738
5.164829,20,59.680668
5.214167,20,59.710811
5.163765,20,59.808659
93.751416,386,60.461798
192.919859,766,61.6604
0.886492,21,61.682834
1.69008,22,61.707119
0.897783,21,61.729503
1.396816,22,61.756888
1.253113,22,61.781879
1.793297,21,61.873594
2.585993,20,61.90044
2.754037,20,61.922425
2.790836,20,61.944129
2.32913,20,61.971393
2.723707,20,62.001853
2.711299,20,62.030963
48.049931,197,62.398348
21.656103,129,62.618022
1.810996,20,62.640231
1.954756,20,62.662346
1.990492,20,62.691755
131.257368,274,63.20855
348.490779,1000,64.726859
34.636259,124,64.920568
213.163016,669,66.007945
22.201957,53,66.067468
26.868323,64,66.209898
181.769321,371,66.745742
3.529556,20,66.824523
23.600168,125,67.033723
-0.323171,20,67.055862
1.01618,20,67.077808
0.391019,20,67.099876
0.970318,20,67.125347
0.94425,20,67.148129
1.345641,20,67.237304
332.285367,899,68.657359
351.539279,1000,70.193091
7.659829,24,70.276218
378.477697,1000,71.782236
371.894449,1000,73.35604
133.633197,438,74.107587
74.988018,263,74.514036
